,X,Y,Z,U,t
0,0.0,1.0,20.0,0.0,0.0
1,0.002496579936775274,0.9997525302950141,19.986685235299078,0.0005000024998041637,0.00025000125000625004
2,0.004986314607889751,0.9995101247672433,19.973366087269927,0.0010000049983583084,0.0005000025000125001
3,0.007469233751928457,0.9992727850272926,19.960056436532536,0.0015000074944124162,0.0007500037500187502
4,0.009945367037212506,0.9990405126592179,19.94675627477221,0.0020000099867164673,0.0010000050000250002
5,0.012414744061906922,0.9988133092209003,19.933465593697804,0.0025000124740204434,0.0012500062500312502
6,0.01487739435413092,0.9985911762444212,19.920184385041658,0.003000014955074326,0.0015000075000375004
7,0.01733334737206885,0.9983741152364368,19.90691264055949,0.003500017428628096,0.0017500087500437504
8,0.019782632504081805,0.9981621276785502,19.893650352030313,0.004000019893431735,0.0020000100000500004
9,0.022225279068819867,0.9979552150276811,19.88039751125636,0.004500022348235225,0.0022500112500562506
10,0.024661316315334993,0.9977533787164348,19.86715411006298,0.005000024791788545,0.0025000125000625003
11,0.027090773423194544,0.9975566201534676,19.853920140298566,0.0055000272228416785,0.0027500137500687505
12,0.029513679502595435,0.9973649407238517,19.840695593834464,0.006000029640144608,0.0030000150000750007
13,0.03193006359447892,0.9971783417894378,19.82748046256489,0.0065000320424473115,0.0032500162500812505
14,0.03433995467064597,0.9969968246892152,19.814274738406837,0.0070000344284997735,0.0035000175000875007
15,0.036743381633873286,0.9968203907396712,19.801078413300004,0.007500036797051974,0.0037500187500937505
16,0.039140373318029914,0.9966490412351473,19.787891479206706,0.008000039146853896,0.004000020000100001
17,0.04153095848819443,0.9964827774481947,19.774713928111783,0.008500041476655519,0.0042500212501062505
18,0.04391516584077274,0.9963216006299271,19.76154575202253,0.009000043785206826,0.004500022500112501
19,0.04629302400361648,0.9961655120103724,19.748386942968608,0.009500046071257798,0.004750023750118751
20,0.04866456153614193,0.9960145127988217,19.735237493001957,0.010000048333558418,0.005000025000125001
21,0.05102980692944961,0.9958686041841771,19.722097394196723,0.010500050570858668,0.005250026250131251
22,0.05338878860644433,0.9957277873352977,19.70896663864917,0.011000052781908527,0.005500027500137501
23,0.05574153492195587,0.9955920634013433,19.695845218477597,0.011500054965457982,0.005750028750143751
24,0.05808807416286019,0.9954614335121169,19.68273312582227,0.01200005712025701,0.0060000300001500015
25,0.06042843454820121,0.9953358987784049,19.669630352845324,0.012500059245055593,0.006250031250156251
26,0.06276264422931312,0.9952154602923157,19.656536891730696,0.01300006133860372,0.006500032500162501
27,0.0650907312899432,0.9951001191276164,19.643452734684036,0.013500063399651365,0.006750033750168751
28,0.06741272374637523,0.9949898763400685,19.630377873932634,0.014000065426948516,0.0070000350001750014
29,0.06972864954755341,0.9948847329677604,19.61731230172534,0.014500067419245153,0.007250036250181251
30,0.07203853657520673,0.9947846900314393,19.604256010332488,0.015000069375291258,0.007500037500187501
31,0.07434241264397395,0.9946897485348412,19.591208992045807,0.015500071293836817,0.007750038750193752
32,0.07664030550152909,0.9945999094650184,19.578171239178353,0.01600007317363181,0.008000040000200001
33,0.07893224282870728,0.9945151737926665,19.565142744064435,0.016500075013426218,0.008250041250206251
34,0.08121825223963132,0.9944355424724485,19.552123499059523,0.017000076811970025,0.008500042500212501
35,0.08349836128183856,0.9943610164433179,19.53911349654019,0.01750007856801322,0.00875004375021875
36,0.08577259743640837,0.9942915966288398,19.52611272890402,0.018000080280305777,0.009000045000225002
37,0.08804098811809004,0.9942272839375106,19.513121188569542,0.018500081947597682,0.009250046250231252
38,0.09030356067543115,0.9941680792630755,19.50013886797615,0.019000083568638925,0.009500047500237502
39,0.09256034239090646,0.9941139834848448,19.48716575958403,0.019500085142179477,0.009750048750243752
40,0.09481136048104725,0.9940649974680082,19.47420185587408,0.020000086666969334,0.010000050000250001
41,0.09705664209657108,0.9940211220639479,19.461247149347848,0.020500088141758473,0.010250051250256251
42,0.09929621432251202,0.9939823581105492,19.448301632527443,0.021000089565296885,0.010500052500262503
43,0.10153010417835137,0.9939487064325105,19.435365297955475,0.021500090936334537,0.010750053750268752
44,0.10375833861814879,0.9939201678416508,19.42243813819497,0.02200009225362143,0.011000055000275002
45,0.10598094453067387,0.9938967431372159,19.40952014582931,0.02250009351590754,0.011250056250281252
46,0.10819794873953816,0.993878433106183,19.396611313462145,0.02300009472194286,0.011500057500287502
47,0.11040937800332754,0.9938652385235637,19.383711633717336,0.023500095870477362,0.011750058750293751
48,0.11261525901573517,0.9938571601527054,19.370821099238878,0.024000096960261036,0.012000060000300003
49,0.11481561840569474,0.993854198745591,19.35793970269082,0.024500097990043868,0.012250061250306253
50,0.11701048273751412,0.9938563550431366,19.345067436757212,0.025000098958575842,0.012500062500312503
51,0.11919987851100952,0.9938636297754888,19.33220429414202,0.025500099864606954,0.012750063750318752
52,0.12138383216163996,0.9938760236623191,19.31935026756906,0.02600010070688717,0.013000065000325002
53,0.1235623700606422,0.9938935374131173,19.306505349781933,0.026500101484166483,0.013250066250331252
54,0.12573551851516604,0.9939161717274837,19.293669533543945,0.027000102195194883,0.013500067500337502
55,0.12790330376840994,0.9939439272954191,19.280842811638053,0.02750010283872235,0.013750068750343753
56,0.1300657519997572,0.9939768047976136,19.268025176866786,0.028000103413498876,0.014000070000350003
57,0.13222288932491233,0.9940148049057336,19.255216622052178,0.02850010391827444,0.014250071250356253
58,0.13437474179603792,0.9940579282827077,19.242417140035702,0.029000104351799037,0.014500072500362502
59,0.13652133540189182,0.9941061755830106,19.22962672367821,0.02950010471282264,0.014750073750368752
60,0.13866269606796466,0.9941595474529459,19.216845365859847,0.030000105000095246,0.015000075000375002
61,0.14079884965661782,0.994218044530927,19.204073059480002,0.030500105212366846,0.015250076250381253
62,0.14292982196722173,0.9942816674477567,19.19130979745724,0.031000105348387413,0.015500077500387503
63,0.1450556387362944,0.9943504168269054,19.178555572729227,0.031500105406906946,0.01575007875039375
64,0.1471763256376405,0.9944242932847875,19.165810378252672,0.03200010538667543,0.016000080000400003
65,0.14929190828249056,0.9945032974310368,19.15307420700326,0.03250010528644285,0.016250081250406254
66,0.15140241221964076,0.9945874298687797,19.140347051975592,0.03300010510495918,0.016500082500412502
67,0.15350786293559282,0.9946766911949076,19.12762890618311,0.03350010484097444,0.016750083750418754
68,0.1556082858546943,0.9947710820003479,19.114919762658037,0.03400010449323859,0.017000085000425002
69,0.15770370633927933,0.9948706028703327,19.102219614451325,0.034500104060501635,0.017250086250431253
