f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159
4.188588095907905,6.647708727092416,7.897348573759797,3.1290524997942493,1.1571803918930776,4.456159998282483,7.211673181999723,8.829946336576322,3.921988357023447,1.4520119703058727,4.53017237691682,7.701462016591202,9.44379148198098,4.119435630402895,1.863231659666072,4.144727649653934,7.656029119791079,9.367357747976069,4.151111804311887,1.1542380430752115,3.0326406503572985,5.567414547997401,6.708911368969921,3.5789108193861363,0.8734284771625374,3.357527992132723,5.355604526418674,6.668252669734369,3.367385152477358,1.0685930452687635,3.237614254590809,6.163906871675397,7.359400723660177,3.35767735677222,0.9531322767205068,4.991304136778608,7.754436062380462,10.098218143133744,4.923742501539102,1.751278476904835,3.449134551187263,7.100067470033018,6.815554458176195,2.9873645491655982,0.780554644874111,2.7923291819190004,5.269120920352847,5.141964472932837,2.133825746562866,0.7056996006015882,4.029545223248606,8.693699721648812,9.929440573703015,4.82242720162543,1.2821612255273964,4.383958107506184,8.908047504261443,8.452320295412182,3.6787563481148498,1.1862347077042164,3.944461845107919,9.455176363410557,8.436963147303441,3.6846193599653647,0.919319768507267,4.368156099140501,8.582394642269527,8.845567499607029,4.004732188810711,1.0169498085874955,3.799291758491144,7.966568156584516,8.804113389038623,3.894142724759345,1.07033635631082,2.969574103001467,6.422397885176736,6.0281512847167305,2.526298533732104,0.6887721658373909,4.260680964210344,7.263632790322351,10.274590806026335,4.784967423666053,1.5835522439471943,4.047776488513262,6.77781166403334,9.24213994226652,4.128181009042778,0.9662211229661908,4.0821694612154,7.347082955961048,9.480618197014657,3.877660428450173,1.3745185830654534,4.313900759545711,7.781189673263904,10.322625282149474,4.737775856563731,1.318002031477739,4.290594781083705,7.141487942886537,8.232441439993421,4.251219174789825,0.9109282401032268,3.478683000701529,6.218169969884741,6.758428381372271,3.1577985485456,0.8018763795188811,3.741733658084744,6.5908019168923095,8.85611461016508,3.7981784284281703,1.037290586658018,3.3498643710566687,4.329908100396271,5.673358506538121,2.4830740016746478,0.6052818898245321,3.360441849445643,5.994045509632569,6.639238719299953,3.2301109181081062,1.3962888314469126,4.22036479616163,7.756968924003934,9.640005197417349,4.620597717620426,2.0159783115643832,3.1838136783523057,6.231538599365368,5.426448677639912,2.3860938658583293,1.536746332789635,2.786305321357088,4.9560286695574565,5.028809812734846,2.2246755495519586,0.7313978243436555,4.417086655826131,8.560220778771667,11.10176295048216,5.487990100009158,2.0732272152985805,3.42754086642902,7.064959460186199,6.7630847736221495,3.1481042962666246,1.7711319315315823,4.120784992175087,8.942272065091473,10.217762847289672,4.644650312239526,1.7891600196727755,3.841220708535332,8.456680832808726,9.1452154434343,4.002718736195094,1.3647132402124715
4.207448933180499,7.303604774447253,9.135929269462196,4.380094333389216,2.9832594919757294,4.438528881111219,7.699792546833043,10.578014622412248,5.25745624452985,2.9617714578269174,4.661999087341,8.018215289558764,11.030748523317447,5.605097923105277,2.533977851200853,5.211646526830833,8.53352651134112,11.285363587097311,5.82559727882189,3.887310890936994,3.3081907423557038,6.404077283620126,7.752801712920368,4.2473322545700585,1.6886458386531955,3.4481131136838603,5.855449449705601,8.304779676819534,4.238277586733382,1.7720485538999913,3.397624673717839,6.704443178738106,8.408764993558238,4.578876984313943,1.9705880973245744,5.333011189315568,9.125478143635164,12.520614694031728,6.906318409223654,3.5044620630490155,3.455359347174785,7.227087796833713,7.4353855418730594,3.684346339182658,1.445458700841009,2.851994530817481,5.591554212895722,5.845818293478973,2.684057617745791,0.6810645913072172,4.086667825906615,9.329019113235734,11.98385993774468,6.629597554273979,2.193681534130766,4.214419950859356,9.2123648980861,9.38073622545768,3.841560361491513,1.26089120509944,3.881031418896807,9.857287380965616,9.119710104886058,4.096762507938125,2.0479824043604045,3.8152820160466017,8.659794676680146,9.796262594423046,4.415601819680007,1.9865807361884515,3.65258837690627,8.470250232822194,10.150215450951269,4.618941118533932,2.182133434211498,3.016962087227533,6.922505313691636,6.666888920177188,2.902675106718587,1.6604092027051571,4.267855495627368,8.251649925712867,12.32733387170747,6.4468029545802645,2.778118833481187,4.022442826023145,7.416203907963609,10.869190301645917,5.498479783997671,2.5176706962794047,4.127079076560962,7.7918080688156195,11.26082704046306,4.437701491811223,1.8446848321186509,4.477976111735865,8.671791151784507,12.233553316446,5.792305517094385,2.3532822733967635,4.4017372115858615,7.689054097016386,9.70582167607538,4.416215647740552,1.6936720291834295,3.4974313071350926,6.549354962594305,7.566952417254185,3.578423878422248,1.2638659825053478,3.860841547518102,7.342970284477325,10.310231920342307,4.340839712021986,1.5779084277322226,3.3904083158638576,4.83157198249097,6.208517341578646,2.67338240124655,1.4513628049872196,3.2943448291987214,6.386494862651816,7.903412242448743,4.006933872218006,1.7198586400827354,4.220272106500885,8.129597230493367,11.144743363494229,5.828914319008334,1.7099112433351993,3.13776672538371,6.116532612322859,5.9045598505598695,2.517468609485097,1.5012286229116858,2.7794282411825235,5.665728705030182,5.731005733027421,2.629669227864785,1.4586877743553124,4.395840553690799,9.01000234237514,13.9144034619787,7.961519861943886,3.871526487312695,3.641073347864393,7.121016343955615,7.525911177438042,3.0087908140510904,2.074796356487615,4.149899170422702,9.618956992865655,12.61571736915942,6.666964730745992,3.5967993809434864,3.851404703112905,9.215801480263972,11.141371340371313,5.098238735308664,2.746387736518276
4.345065412268183,7.666760135007027,8.825792259806619,3.5089678485279685,1.2962910553231322,4.715160010281367,8.297831365372458,9.896934893731752,4.206096878440779,1.3804991762691885,5.167760822368208,8.808397392804205,10.664722718801883,4.600290378686873,1.4807425767576667,4.957295854332287,8.764831919720214,11.497257632956993,5.254039573819839,2.275238145923401,3.545883914282199,6.533009311374214,8.230568378439276,3.9230629539305055,1.6593241554504965,3.5897283206806314,5.768346014760432,7.773114635728755,3.508138394223017,1.1321299234200597,3.7453277969538914,6.778466299187331,8.04734976419889,3.853043888956445,0.7856580239096557,5.522579980167517,9.191725776456792,12.146167781987913,5.7891486592872194,2.215420442235781,3.7837024999069615,7.863515404942212,7.788022883972016,3.3883483855512155,1.4282620580347274,2.965149519028624,5.941709515712431,5.751645225952736,2.4641262680685627,0.6861911126531729,4.263746771862911,9.842498996363346,12.018221540774393,5.6428320052503205,1.4985803435956198,4.681447921894272,9.85594307791392,10.364548273350575,3.939326425551849,3.340715701511197,4.005123011458217,10.267260933618294,9.40334960569594,3.960277513125321,2.3444705529755496,3.986151245486612,9.167749194868149,9.602032680254018,4.061301363653064,3.1059318382864,3.875189381553743,8.86386586443388,9.761101969502576,3.861440754632471,2.668326910873453,2.980287629191065,7.117735995781596,6.480025331571736,2.5947699380581395,0.7099168257720991,4.535250382658503,9.01852686152301,12.719335413898522,5.199450889496904,1.6789298558013828,4.242776425692748,7.804936666042764,10.924213624266365,5.052556551463788,1.893139496580124,4.517663288137866,7.981558322849051,13.185697718634978,4.041248220358859,2.190593497073084,4.917810576538232,9.51835892383491,13.46640739595631,4.927604306666631,2.092959084609621,4.692621555780024,7.995875412410226,9.183826889966126,4.057941949072636,1.615590214907152,4.078145427138924,6.966292891108168,8.124120032451314,3.5993443300496386,1.3526097520738325,4.125776995904813,7.3960467854443745,11.669842625226112,3.957860614398698,1.8877906184420892,3.4499090491936464,4.649489210905516,6.1990921638202,2.3903694267957643,1.855045666703945,3.7228511065357033,6.8124859630619845,8.120826091373864,3.68478864742082,1.6920021947121835,4.961411667890209,8.599930414502765,11.87896024559788,5.45618974682997,1.5178123856606047,3.5139661598698835,6.831519539040212,6.356164294707913,2.3797446325801244,0.9565098679617272,2.791518882083828,5.578447982498872,5.730820488262542,2.3902859301274253,1.6271371804336443,4.650852613187175,9.929295830317686,13.259464239784354,6.266675017327144,1.5984349736296943,3.9329188715533694,7.921757045577985,7.323128162694407,2.9090914416188234,1.2816446218463184,4.492364301195813,10.833261184402874,12.167419755071878,4.902361994886332,1.6923109763185895,4.237459838997784,10.394526549934309,10.744847841123937,4.0234019778646335,2.320746759333295
4.072856197958157,6.752900117657852,8.43540474954272,3.833372322089763,2.686686370439032,4.218149873289652,7.145087533061082,10.329524727801738,4.492693091901185,3.2747342529053274,4.520354553615428,7.527893414986567,11.07449817842838,5.138535642040764,4.469673782296883,4.299510305431007,7.826047195708862,10.978009372487092,4.9598744791006055,2.1915785586022114,3.204671672622667,5.7219883177734205,7.958372187734419,3.539155755825713,1.7323933697562328,3.421850267664432,5.519899580301056,7.202159099932353,3.386581259615309,2.2092554101570587,3.1629806699038707,5.851184865421709,8.366941777141703,3.987434443771981,1.4860878027892197,5.547581180251111,8.520165239242703,11.693134492038842,5.842800283562271,1.940520513863652,3.2190522322759563,6.851656424580156,7.906482787055959,3.3962821932988927,1.7326110700303652,2.818844414280488,5.22701308537803,5.537454351667996,2.534043967624229,1.0050401343349276,3.742969363479333,8.519907220128085,11.222269913240767,5.53388836122968,2.0426879920130734,3.915045673504829,8.42967571120469,9.173499372746894,3.70992475010314,1.742194696669254,3.8622786640699056,9.627151164791186,8.917572090240933,3.6961414370653376,1.670325849732067,3.98756064672144,8.737929083058033,9.196146511745498,3.642543908829646,1.2787326282108578,3.589946453764896,8.309268947208928,9.592229199792378,3.803359449170831,1.325548058898088,2.820301709646933,6.410245739236451,6.6122437298484265,2.6880404315801147,1.2615317127500654,4.165622152195838,7.692056713637895,12.711518842576464,5.265984328017435,1.9617670274491,3.875137317080676,7.54029247639283,12.74400627548385,5.189741954208212,1.8632240490042,4.082024130702831,7.88983692373877,14.48184506045128,4.831696979600041,3.2904533157448714,4.077799068711476,8.363019058324308,13.9074689981525,4.951345591249051,2.115731998596106,4.27966479759213,7.798082478991564,8.985774238734248,4.457062207994893,2.031901281162008,3.548906527508464,6.774747812247516,8.25461987645975,3.9591561641841335,2.170130473871623,3.7273822141725175,7.307669034299217,12.205320164617849,4.21479516762819,1.926107511940559,3.5678619684646105,5.90335142610025,10.684059241794657,5.712346761106362,0.9959444222069742,3.265606225112144,6.449037470289037,7.501442129753059,3.611084956290134,2.215096823523175,4.536751745662606,7.875837697906893,11.589657100217456,5.366109237506573,2.856888153865585,3.0886167845902293,5.876397083187094,6.360121592132314,2.8783596685524784,2.812059793425967,2.71593528849566,5.077961054544515,5.345399736079637,2.280097259178948,1.5258672997459346,3.9977638544629657,8.22660504264812,13.22840578707238,6.364536389441684,2.820539212345176,3.137365029580297,6.4073327165932525,6.875768330622971,2.839468067675732,2.5404089378911947,3.876139464210468,9.113125400658854,11.882351403466716,5.006474058797803,2.3233720304264622,3.754407799370756,9.205586500048105,10.310675386949653,3.976709593230194,1.7741633437589597
3.904540257375048,6.1799348024370975,6.595277628399682,2.653141676968345,0.7377264698740691,4.120732130141635,6.345920611236217,6.972918296684494,3.0373616035399653,0.6940175755144263,4.373264735631541,6.530704597503007,7.145050499715419,3.007722197732963,0.7524107959752329,3.860915430143301,6.472641431508294,7.961072316525411,3.1664338532097456,0.9680527036529905,2.9242170954456146,5.016065762118712,5.786552624354955,2.4114632772892794,0.6261101762340348,3.143927060183965,4.814331166913189,5.580149435449071,2.512549340221699,1.0972211775442242,3.0368969683174245,5.185771827163543,5.413031093725099,2.494840480149322,0.7209530057811391,5.684919309141232,7.550946697302335,7.9259938235998515,3.729026576881372,3.308777680919309,3.2562197278302465,6.292507591263759,5.642424200365965,2.6333242875083047,1.579393394820244,2.603530204667533,4.862359840718599,5.010641647409579,2.305174618317495,0.6305979416034266,3.746742750371888,7.659085853031949,7.16079126252078,3.155430406467213,1.2203605818218242,4.070236150443115,7.988179887182537,7.512126089489658,3.1141917849299414,2.269258731874225,3.7243134299154312,9.11608515327332,7.356891479248706,3.154239748212729,2.038613267863424,3.732265776660717,8.020531278940874,7.202766107909605,3.296570429573659,1.8023474586830448,3.554553861250925,7.624974197479575,7.0697661714114295,3.048775559782653,0.806708172798619,2.7613326900464745,6.118589781837898,5.640134945411485,2.3585135748013664,0.7411339238109964,3.9464012131943553,6.719541458370747,7.56042747682955,3.0820376173957578,0.793775253563326,3.7322143218236663,6.289003511585715,6.809847308279068,3.2420921911632186,1.4081116808088645,4.000430829124166,6.415977535036896,7.177813490936508,3.079571289459935,0.9201958046703372,4.100375546185869,6.84209529142104,7.773164875395835,3.1870917033403767,0.8360169199542796,4.101798727244382,6.737943312321588,7.151795165904192,3.3101847381674503,0.822121224699655,3.3025798842397376,5.767846098224659,5.7536118719848295,2.738713458116702,1.317763575087439,3.732587743223125,5.950313977988484,7.330691184538403,3.278930614537505,0.8207186241484672,3.214819490760081,4.163258072302394,5.521789515079794,2.532017415891421,1.1271081579924662,3.0066518703091845,5.297701326723953,5.3099173430750914,2.5405782840154414,1.4742512352876809,4.4738115842831325,6.871921260818566,7.339705723735503,3.5313152777093206,1.5624100125764766,3.065364919916506,5.627376136816005,4.991731199493682,2.130126311927167,1.3241314372996589,2.477076782455893,4.727845821440068,5.180709988210911,2.218977664357846,0.9606649013381708,4.031867209865413,7.639779169524808,7.787666432314031,3.355789794949723,1.5436891648499995,3.7221581314548366,6.756518983421631,6.071359273957894,2.5458523401857143,1.1303239711695423,3.9238791568773537,8.477241816229665,7.832313615819796,3.04041243535405,1.181589526861648,3.728628946608027,8.571599779983055,7.738897491189729,3.119278166067729,0.8288257976214484
4.06705500902252,6.933024877817468,7.831296902971816,3.3233720688828603,0.9724813975400208,4.237986919096731,7.168384580864956,8.518842199474483,3.9582122278060687,0.9980141125771128,4.472403745633943,7.526097430437737,8.944366489558009,4.41723121486599,1.028109164736245,4.146240488362912,7.611087830035158,9.41462216613598,5.072989590223487,0.9709635011288026,3.1232563534688693,5.901279393554218,6.838302943411624,3.575399900651702,1.3337563715013785,3.314606976474953,5.586270516704257,6.901502424284557,3.6807276726859017,1.5760964714421042,3.281328350486242,6.151749682237543,7.42562046334973,3.607337768555517,1.2355160150296245,5.728350538758503,8.861724077916934,10.361576818901018,5.455053794531875,1.671495211710768,3.7016812237987176,6.988707242183992,7.23604490747349,3.144233469255941,1.265035704183453,2.7708713849000874,5.183319804016491,5.603250650850056,2.3010113424990637,0.6164919884009338,3.96005683723876,8.377273590350292,10.16329613177688,4.9225794820207645,1.42201142443185,4.354962397153773,9.19198905866068,8.675237290495012,3.471321213231799,1.5462019934496156,3.8661864743982535,9.458405213702628,9.067266424418404,3.379261428693099,1.2950973959605283,3.8508890174436714,8.381346357691312,9.168169832830062,3.751907416325409,1.652527191012514,3.5414682071543013,8.109238274013027,8.938593090366236,3.709775363518598,1.3225200490213134,2.958132576068344,7.06570273553911,6.352148885465623,2.643957354587774,0.7321742200330305,4.146861641375308,7.515798432883823,10.073900417294976,4.680339221964858,1.3650204650430624,3.9221155962347023,6.945670519512433,9.501707509044074,4.4644509260829,1.2709836546260067,4.10537529843769,7.01962895265327,9.024641413760524,3.732225641275494,1.5799061742070457,4.385807444332686,7.604886799392944,9.957758922676584,4.249147141890719,1.565380801346565,4.12909593075496,7.112535512852231,8.275943497373106,3.724198846743997,1.598907940609215,3.4313742028202654,6.026788414435973,7.010811493844764,3.187788027187864,0.67432590639336,3.841827798022132,6.6096593696127455,8.637811821787164,3.986281571130128,1.1947542657411567,3.3702407890406345,4.730266462448638,6.151965224285024,3.1473798832889948,1.0512711434666124,3.2644095908652866,6.006274931010762,6.822937294586932,3.438545232959485,1.1990151310677446,4.640936006969769,7.620675548248061,9.395492139281556,4.9505145961461965,0.9622627565809934,3.105173033918291,6.077077858808013,5.639010847492959,2.338569870289619,0.6001889478293748,2.792983803346111,5.795415395390108,5.6099373938502906,2.420460441362653,0.7429266905738672,4.292955507024797,9.161725849883377,11.21366934018462,5.740029712492111,1.4411230135190412,3.5745579726266885,6.977291072320644,7.127138391506459,2.991010970930514,0.6913214533900592,4.013813683895044,9.652107016938997,10.650270677225702,4.715210634410767,1.088659807677794,3.7074185356884097,8.99640746864797,10.13469865361291,4.202986074798443,1.1140848562134682
4.034825951499424,7.22926543171903,8.741745138000725,3.964723047184906,1.6917277145403908,4.687625122087767,7.629471664889308,10.151461013782663,4.836664136156436,1.8120142629030425,5.545095381840028,8.009115998917729,10.832657467265124,5.274687354951331,1.885301111151192,4.904940488740718,8.29448774659169,11.185775651332008,5.637807306087348,1.517239038808582,3.377050195704782,6.0539189859811335,8.30892340605374,4.251458433584131,0.7211203755502674,3.78726454332448,5.873091782107846,8.515016891809829,4.275520126881005,0.7013544811967906,3.712648210354341,7.144150751598966,8.924994189086334,4.884335892021732,1.1334851880267711,5.831796856722864,9.23866010376324,13.985990493227398,7.505997574879236,1.3757352157840608,3.664057280724806,8.46580166618445,8.264174818534375,3.8833415819880073,1.4570918573147522,2.9671969368097164,6.367157998355885,5.614165681268463,2.685717533142928,0.5040338635627952,4.158457285218683,10.583607459493589,13.360892080667892,6.687941143191433,1.355608919197489,4.812297000774859,9.925444120244544,9.611669777360277,3.650425292920503,1.2170206391480964,4.19693147483378,11.779738339167238,9.758390676094043,4.207183078943754,1.2062817322493316,4.381196601683096,9.732150914813442,9.214601668876332,4.196491467733374,1.3296428582612363,3.971221027968814,8.816532898212937,8.872208337186672,3.910577686091732,0.9485647742965349,2.9967734556058274,7.322838423326322,6.445535930688537,3.039592998714541,0.8938549124156814,4.345921847043142,8.391815245804457,12.413753917643769,5.88520232358416,2.0462633623919224,4.169563235445247,7.8307983748503585,11.352507479216376,6.123017838129547,1.0179121585611182,4.194157783003789,7.427220605351162,9.561436999297324,3.758757687288048,1.395461553357945,4.381996002192374,8.334592591372724,11.874264907248982,5.493654264188266,1.9699212687603909,4.423122626508967,7.891779477576536,9.152917998546386,4.434416916529017,0.9931572175477674,3.755690855569541,7.06198699408889,8.12434300944958,4.244419179821369,0.9881532325282892,3.853327888446816,7.02951428384173,8.931444660180624,3.8271556413487593,1.1396506753946043,3.422259731875823,4.727178787228512,5.620198327936586,2.655192707401562,0.9044662527674924,3.625970797514249,7.376152100832121,8.656560025175837,4.537225271757411,1.8643426443146955,4.559742658721071,8.595103802915897,11.491906329567898,6.435176855503945,2.3507925445592828,3.309841681861613,6.549897776091262,5.656045871411592,2.561164591920609,1.3875767613246162,2.753950761080933,5.389898930263955,5.115980724618114,2.445550894445159,0.8656717628102819,4.50529011593264,9.598545766586788,14.751057958474728,8.124555234072696,2.7608362475507624,3.5968916359261693,7.477768111343098,6.954733527668106,3.020913450792535,1.65517523563995,4.295811992249588,9.991404353199307,12.1785892099481,6.0645545461378685,2.00357312456601,4.1529921842842565,9.598330522208885,9.411904064645658,4.100860431005726,1.3845609594668469
4.484942983103256,7.882632988053313,9.86311903976118,4.04061705766156,1.3076531644709115,4.720324495961081,8.842305153011731,11.286915349048527,4.867117058368328,1.5260925348110816,4.92143307507164,9.382553354403903,11.432008385143725,5.374373107973126,1.3142110625047645,4.528504663424698,9.104101797344368,12.21958649385641,5.575786349118223,1.4106518496573206,3.306289112787353,7.121634254658871,8.684288527983357,4.046744849116377,1.4669400954006953,3.666787359742465,6.961012509518138,8.048309761377984,3.6755198096024433,1.3124579400223768,3.4239553807673104,7.162322770004792,7.982313019937168,4.093383968694756,0.790366984409395,5.378713401482173,9.888771893682533,12.498427415608152,6.464796997044365,1.245652984259456,3.658688246161721,8.290008655098495,8.115690770342166,3.4902517371576574,0.8885250400026964,3.0745080157035494,6.251036384626781,5.982806921445331,2.596253082328466,0.7887170557608446,4.18548869706868,10.16452303794142,12.262435197932932,5.9219849641614335,1.4563478400609295,4.910116212022314,10.822013089264372,10.989784144185652,4.109984323915421,1.1175642446251872,4.135669021438014,10.910747845377912,9.83702446460406,3.821819052252743,1.1081338635485107,4.100153847691393,9.676162898554065,10.406122570956551,4.52262010562473,1.3818174087080402,4.026050392645897,9.64032177683504,10.71036116765159,4.745594920800546,1.314643698057815,3.07662590856487,7.585009817098835,6.772971172268827,2.558122342298097,0.8617101755193587,4.598983484308044,9.267824584361469,13.14153044861536,5.903926578713783,2.0943948604324367,4.431811426549989,8.389306599991887,11.678004751218465,4.998035775941827,1.4981333440870803,4.584936138145205,10.041260569797618,13.781684265079098,4.400173796210678,1.6583808182955275,4.763070755266916,10.241874026184448,13.794091028633456,5.477499113439561,2.098930674322159,4.744356086554554,7.957452485885834,9.065484537529118,4.584239722918667,1.6007870308331087,3.789613465386502,6.9869287098689234,7.646260891432408,3.625246292456381,0.8296795458279168,4.026840375456414,8.802203847882845,11.575772291599447,4.287294768645974,1.331024073027937,3.4438536279477034,5.603651732237991,6.318067032918333,2.923482613392742,0.8718579004394977,3.5314687259795976,7.497668217851279,8.125010955840954,4.333483076214201,0.7063996744532421,4.383940175653679,8.723641307843303,11.33764804666414,5.567107029705072,1.2213925066189362,3.3743114627787416,7.276963028286907,6.852870722684826,2.7831809607787825,0.7621685173788642,2.8312226620248606,6.139365384397639,5.671527285681733,2.598231122803888,0.5950717112883215,4.497314899651815,10.5507607086766,13.807361137455215,7.17248556836006,1.6157896341392306,4.208533252878487,8.821099194563487,8.91227508871139,3.2366263197934737,1.0430773282557335,4.404146187736417,11.754280930229688,12.96617427343418,6.0108427538045,1.7036668547437144,4.363455897104339,11.34531329710452,11.845513019137268,4.981788241211613,1.6579118970111382
4.5768628300308,8.156539000609802,10.000435269377348,4.230661587928244,1.4800941548461757,4.806552512739703,8.678556160996488,12.14928376900188,5.086687705507796,1.4016524349328228,5.081687407550239,9.150237199557022,12.70181641445102,5.707026690899957,1.3719768321511476,4.58785984202247,9.598847678093414,13.023308961766055,5.896808798797055,2.017090968363258,3.565555908304272,7.029948456452174,9.57377672524098,4.770720188140588,1.3663660387811711,3.7045243027372026,6.8012756662759015,8.991643022253744,4.035222894121175,1.1900456493608609,3.758852650447058,7.289883986801893,9.586369224397162,4.901050079250738,0.8735287282415494,6.701229900756161,10.400292545301998,14.85813546787126,7.286816845470255,2.11521760443166,3.9494366799672895,8.484057094572465,8.905430405256217,3.822043693805989,1.0422749568988867,2.978898644655648,6.122285545176808,6.271814549122675,2.8899003734917152,0.7553397369309146,4.530813946151035,10.705242894130077,15.131241513569346,7.108861783759022,1.6170397791731668,5.036228469327001,10.360941669035338,11.783518694816989,4.521464649581426,1.6005167501150868,4.211948423187794,11.47693159736352,10.490339982678435,4.13868369953292,1.2501625886175622,4.149352792924818,10.163762065625734,10.952441993211648,4.271757871859566,1.2207644448427206,3.955171434513672,9.545451437374998,11.38047118883075,4.320646831211566,1.2040770802933851,3.0897226958320947,7.470529848800095,7.42318088136315,3.049229576766959,1.0319324535607592,4.806507793845412,9.711450885527128,15.163646754712126,6.3733973334435,1.9072857778115144,4.40754287416924,9.165971509180324,14.220612786456998,6.058222074860724,1.861844671136213,4.532294856860244,9.608413575534042,16.685247782998783,5.098724715607196,2.1226165477101877,4.925776621749468,10.446951698987348,16.746573113796412,6.3526708405871455,2.5426229618104745,4.699442886922402,8.747161685978046,9.926944734029384,4.623408311614238,1.0975217583780916,3.7319013848469016,7.829858979308094,8.448684698543284,4.101136019855485,0.8761632071182789,4.211629666288414,9.067551912882848,14.494311607265056,5.003285715675618,2.203680437980024,3.520512348794313,5.357890309116992,6.931114935776752,2.71937802102148,1.2673697484534223,3.652862120413158,8.031362247438608,9.10212549774285,4.312573592483517,1.1898431394946176,5.019675023728585,9.320122578629302,12.951114799663436,6.216676671669779,1.2309792585647703,3.606216176954261,6.94357768811134,6.62810333803128,2.552864588145176,0.6155286109200648,2.8609977759851866,5.655658147127583,6.096293325538611,2.6748097811610467,1.1535783924651162,4.856564728391458,10.253019137050863,16.57524849199273,8.14985084817818,1.6852827577920468,4.638675124589455,8.1472192901271,8.408733157541398,3.111473556401936,1.2664810995341436,4.535061289571392,10.738581861592566,14.610264074573994,6.215182773530544,1.5753595338916395,4.242254059638859,10.137829898338987,12.173754777232952,4.5904238213592725,1.7601953120596747
4.212738796825365,7.404101049616968,8.11241124919277,3.5513080279493168,1.440797948614135,4.497272426993088,7.582563192470337,9.122782271929417,4.2981781210427785,1.3550784602629136,4.779783438564315,7.716988940890866,9.36221264459685,4.531679056020496,1.2005760738627518,4.39528983740694,8.055999918517951,9.80093118860994,5.19965620937742,1.3555177079742764,3.3401530834119337,6.396732450414066,7.6193530170486365,3.730454749765444,0.724467422537141,3.629580421014244,5.736769580298651,6.8686756097129456,3.6714028777403658,0.8079677485085525,3.462152632062881,6.405040237168589,7.340611391595007,3.697699344044989,1.0173612504619909,6.427887172136294,9.48218436980385,11.843463125495164,6.363191390227343,1.3461004717958915,3.660127533140638,7.999524913381501,7.254042306779209,3.3037488734667773,0.9323998136528244,2.9001504355156453,6.241158695603376,5.320507166062437,2.2999689563407424,1.2816846105706037,4.419798573403159,10.26134700267435,11.044944979735115,5.58135872249341,1.3781132582435702,4.272603767515889,9.804559661128511,8.678294595922411,3.476884969226659,1.0078971153909295,4.152129419914993,11.256969846474991,8.402956648035179,2.999220004269462,1.3305535023598196,3.9343911343338553,9.070767644708594,8.339979603981748,3.159035423912384,1.4866220655276787,3.879656645764832,8.314105211566758,8.460686838564186,3.268833392006376,1.1249304642604347,3.083619795463231,7.436004086567491,5.956873480309089,2.414247683432404,1.5476974385035716,4.500704418044913,8.136343291234605,11.123010736690564,5.126907924407518,1.7626371613343856,4.220041899475305,7.377568853200601,9.2531454693493,4.395975586293645,1.768405923925368,4.440535898886603,7.730898387176865,9.91993140468064,3.7328580971213663,1.957864483071142,4.675997056866016,8.183276421706584,10.862759652565764,4.777169681015051,1.8002588605272465,4.354591059003465,7.306403398660314,7.92314866068786,4.020321146428531,1.6390879040247268,3.599092781219892,6.343679090354256,6.752498408023721,3.151975627235436,0.6976950695834674,4.061701222734704,7.292485322932229,9.332620376599484,3.445695589787565,1.8053889612711904,3.503313493222024,5.057186828112281,5.519380804242881,2.4600831067980167,0.7172479309132814,3.4371820901168517,6.6945523894332855,7.252450894519115,3.676293113459044,1.0005872578361508,4.808275505012429,7.939334343329866,10.0854786130784,4.876689597649053,1.1184192007262448,3.277112776441912,6.254948180682182,5.771943910874675,2.5914235593147144,1.1482913684367415,2.806266785931047,5.816406948622052,5.133575238148023,2.352307164738921,1.314858308939566,4.725936665603889,9.010761788224157,12.39815764219941,6.454602287383604,2.110295877417488,3.433526659049472,7.234701913643724,6.737039730871251,2.843773743752894,0.8256573197715873,4.431234993098146,9.540159744626727,10.729814532523918,4.817779855787996,1.7645445620737097,4.235208859043068,9.0134119756769,9.180135052555675,3.337134120676331,1.4284503449453572
